SITEVISITID,SITE,OBS_YEAR,DATE_,MISSIONID,OCC_SITEID,ANALYSIS_YEAR,ANALYSIS_SCHEME,SEC_NAME,EXCLUDE_FLAG,TRANSECT_PHOTOS,Oceanography,METHOD,REGION,ISLAND,PERM_SITE,CLIMATE_STATION_YN,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,CCA,CORAL,EMA,HAL,I,MA,SC,SED,TURF,N,new.N
10039,KAH-00321,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_NORTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.595952,-156.553572,Forereef,Mid,0.677966102,58.6440678,8.813559322,0,0,6.101694915,0,0.677966102,25.08474576,300,295
10040,KAH-00419,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.512691,-156.543043,Forereef,Mid,2.341137124,9.030100334,6.02006689,0,0,4.682274247,0,5.685618729,72.24080268,300,299
10041,KAH-00362,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.513054,-156.609834,Forereef,Mid,0.337837838,10.47297297,7.77027027,0.675675676,0,3.040540541,0,0,77.7027027,300,296
10042,KAH-00334,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.50641,-156.682167,Forereef,Shallow,0.673400673,3.03030303,3.03030303,0,0,0.673400673,0,1.01010101,91.58249158,300,297
10044,KAH-00163,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.526242,-156.530687,Forereef,Deep,2.739726027,6.506849315,11.30136986,0.684931507,0.342465753,6.849315068,0,9.931506849,61.64383562,300,292
10045,KAH-00198,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.510727,-156.545882,Forereef,Mid,0.33557047,4.026845638,4.026845638,0,0,4.026845638,0,1.677852349,85.90604027,300,298
10046,KAH-00178,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.51379,-156.621091,Forereef,Deep,5.460750853,2.389078498,12.96928328,0,0,3.754266212,0,13.3105802,62.11604096,300,293
10047,KAH-00119,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.51524,-156.646965,Forereef,Shallow,0,0.668896321,0.334448161,0,0,0,0,0.334448161,98.66220736,300,299
10048,KAH-00123,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.502835,-156.668186,Forereef,Shallow,2.693602694,6.397306397,7.407407407,0,0,1.346801347,0,1.683501684,80.47138047,300,297
10049,KAH-00145,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.516105,-156.692717,Forereef,Mid,0,1.333333333,0.666666667,0,0.333333333,1,0,12,84.66666667,300,300
10050,KAH-00146,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_NORTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.556635,-156.547118,Forereef,Deep,0.666666667,0.666666667,0,0,0,0.333333333,0,32,66.33333333,300,300
10051,KAH-00127,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.521888,-156.538552,Forereef,Shallow,5.685618729,1.672240803,11.0367893,0,0,2.006688963,0,0.334448161,79.26421405,300,299
10052,KAH-00128,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.51067,-156.576497,Forereef,Mid,2.821316614,6.896551724,10.03134796,0,0,6.5830721,0,0.313479624,73.35423197,320,319
10053,KAH-00172,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.510992,-156.591332,Forereef,Shallow,6.825938567,0.341296928,5.119453925,0,0,0,0,0,87.71331058,300,293
10054,KAH-00181,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.50989,-156.62939,Forereef,Deep,3.448275862,3.448275862,5.642633229,0,0,3.448275862,0,18.18181818,65.830721,320,319
10055,KAH-00106,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.501329,-156.67726,Forereef,Mid,4.716981132,10.6918239,16.98113208,0.314465409,0,6.289308176,0,0.628930818,60.37735849,320,318
10056,OAH-02214,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.449673,-157.718463,Forereef,Deep,0.323624595,29.12621359,8.414239482,0,0.647249191,7.443365696,0,6.472491909,47.57281553,310,309
10057,OAH-02223,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.409548,-157.708981,Forereef,Mid,2.5,40.3125,15.625,0,0.625,0.625,0,0,40.3125,320,320
10058,OAH-02239,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.388311,-157.695595,Forereef,Shallow,7.741935484,1.290322581,47.74193548,0,0,1.935483871,0,0.64516129,40.64516129,310,310
10059,OAH-02264,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.383864,-157.694639,Forereef,Shallow,6.269592476,0.940438871,36.05015674,0,0,6.269592476,0,5.642633229,44.82758621,320,319
10060,OAH-02270,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.364816,-157.687778,Forereef,Shallow,6.603773585,2.830188679,25.78616352,0,0,2.830188679,0,9.748427673,52.20125786,320,318
10061,OAH-02236,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.3431,-157.675507,Forereef,Mid,2.8125,37.8125,8.4375,0,0,2.5,0,0.3125,48.125,320,320
10062,OAH-02518,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.432877,-157.71756,Forereef,Deep,0,31.33333333,13,0.333333333,0,1,0,1,53.33333333,300,300
10063,OAH-02564,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.407401,-157.732242,Forereef,Shallow,0,0,3,5,0,8.666666667,0,53,30.33333333,300,300
10064,OAH-02521,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.387369,-157.690627,Forereef,Mid,0,26.10169492,1.694915254,0,0,0,0,0.338983051,71.86440678,300,295
10065,OAH-02556,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.367596,-157.688619,Forereef,Shallow,6,1.666666667,18.33333333,0,0,0.333333333,0,1.666666667,72,300,300
10066,OAH-02538,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.330579,-157.660273,Forereef,Mid,0.334448161,12.7090301,2.675585284,0,0,0.334448161,0,2.341137124,81.60535117,300,299
10067,OAH-02235,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.425023,-157.7208,Forereef,Mid,0.67114094,36.57718121,12.08053691,0,0,3.020134228,0,0,47.65100671,300,298
10068,OAH-02251,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.406385,-157.720529,Forereef,Shallow,8.666666667,8,34.66666667,0,0,2.666666667,0,2.333333333,43.66666667,300,300
10069,OAH-02217,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.395322,-157.686687,Forereef,Deep,1.677852349,9.395973154,2.348993289,0,0,1.677852349,0,1.677852349,83.22147651,300,298
10070,OAH-02237,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.394147,-157.695357,Forereef,Mid,0,24.18300654,11.11111111,0,1.633986928,1.633986928,0,0.653594771,60.78431373,310,306
10072,OAH-02206,2016,8/22/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.283406,-157.653959,Forereef,Deep,1.346801347,11.44781145,6.734006734,0,0,8.080808081,0,15.48821549,56.9023569,300,297
10073,OAH-02650,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.482462,-157.780487,Forereef,Deep,0.334448161,33.11036789,4.682274247,0.334448161,0,1.337792642,0,0,60.2006689,300,299
10074,OAH-02687,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.531464,-157.820371,Forereef,Mid,1.006711409,4.697986577,10.06711409,0,0,7.718120805,0,0,76.51006711,300,298
10075,OAH-02729,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.567034,-157.851768,Forereef,Shallow,1.342281879,5.369127517,15.77181208,0,0,1.342281879,0.33557047,0,75.83892617,300,298
10076,OAH-02667,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.596268,-157.877864,Forereef,Mid,2.684563758,13.08724832,13.42281879,0,0,4.362416107,0,1.006711409,65.43624161,300,298
10077,OAH-02739,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.608744,-157.891535,Forereef,Shallow,4.697986577,9.060402685,17.7852349,0,0,2.348993289,0,2.348993289,63.75838926,300,298
10078,OAH-02281,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.509545,-157.806326,Forereef,Mid,5.016722408,51.17056856,35.45150502,0,0.334448161,0.334448161,0,0,7.692307692,300,299
10079,OAH-02282,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.551156,-157.833258,Forereef,Mid,13.1661442,1.253918495,38.24451411,0,0,11.59874608,0,0,35.73667712,320,319
10081,OAH-02298,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.578769,-157.860421,Forereef,Mid,7.046979866,3.691275168,41.94630872,0,0,4.697986577,0,0.33557047,42.28187919,300,298
10082,OAH-02306,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.577336,-157.865536,Forereef,Shallow,13.75838926,9.395973154,71.47651007,1.677852349,0,1.342281879,0,0,2.348993289,300,298
10083,OAH-02316,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.592015,-157.880249,Forereef,Shallow,2.364864865,13.51351351,11.48648649,0.337837838,0,2.027027027,0,0,70.27027027,300,296
10084,OAH-02276,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.465658,-157.744369,Forereef,Deep,11.40939597,7.046979866,17.11409396,0,0,4.697986577,0,2.013422819,57.71812081,300,298
10085,OAH-02299,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.477866,-157.776844,Forereef,Mid,5.642633229,40.12539185,21.63009404,0,0,0.940438871,0,0,31.66144201,320,319
10086,OAH-02292,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.494807,-157.80389,Forereef,Mid,19.3220339,37.96610169,22.37288136,0,0,0.338983051,0,0.338983051,19.66101695,300,295
10087,OAH-02310,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.564413,-157.853435,Forereef,Shallow,13.4375,7.1875,51.5625,1.875,0,1.5625,0,0,24.375,320,320
10088,OAH-02287,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.593961,-157.876924,Forereef,Mid,9.6875,9.0625,54.375,0.9375,0,6.5625,0,0.3125,19.0625,320,320
10089,OAH-02304,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,0,CNET,MHI,Oahu,0,0,21.500692,-157.816888,Forereef,Shallow,4.12371134,26.80412371,5.498281787,0,0,4.12371134,0,4.12371134,55.32646048,300,291
10090,OAH-00022,2016,8/23/2016,HA1606,OCC-OAH-005,2016,RAMP_BASIC,OAH_NE,0,-1,1,CNET,MHI,Oahu,0,-1,21.47970546,-157.7830092,UNKNOWN,UNKNOWN,2.02020202,46.12794613,12.79461279,0,0,1.01010101,0,0,38.04713805,300,297
10091,OAH-00471,2016,8/23/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NE,0,-1,1,CNET,MHI,Oahu,0,0,21.50842,-157.80524,UNKNOWN,UNKNOWN,3.765690377,32.21757322,7.531380753,1.673640167,0,3.765690377,0,0.418410042,50.62761506,240,239
10092,OAH-02569,2016,8/24/2016,HA1606,NA,2016,RAMP_BASIC,OAH_EAST,0,-1,0,CNET,MHI,Oahu,0,0,21.259097,-157.702273,Forereef,Deep,0.677966102,0.677966102,3.728813559,0,0,0,0,9.152542373,85.76271186,300,295
10097,FFS-01301,2016,8/31/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.841573,-166.323977,Protected Slope,Mid,12.58503401,43.87755102,3.06122449,1.700680272,0,0.340136054,0,2.380952381,36.05442177,300,294
10098,FFS-01266,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.718943,-166.337873,Protected Slope,Deep,1.034482759,1.724137931,2.75862069,0,0,0,0,3.103448276,91.37931034,300,290
10099,FFS-01284,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.639877,-166.178638,Forereef,Mid,1.718213058,28.52233677,1.718213058,0,0.343642612,0,0,6.529209622,61.16838488,300,291
10100,FFS-01302,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.671752,-166.257493,Protected Slope,Mid,3.355704698,44.29530201,1.342281879,0,0,0,0,18.79194631,32.2147651,300,298
10101,FFS-01094,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.635948,-166.194727,Protected Slope,Mid,0.34965035,5.594405594,1.398601399,0,0,0,0,2.797202797,89.86013986,300,286
10102,FFS-01091,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.626821,-166.113943,Forereef,Mid,0.653594771,3.267973856,0.326797386,0,0,9.150326797,0,1.633986928,84.96732026,310,306
10103,FFS-01092,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.624255,-166.133696,Forereef,Mid,0.341296928,1.365187713,1.023890785,0,0,0.682593857,0,26.27986348,70.30716724,300,293
10104,FFS-01121,2016,9/1/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.635364,-166.159037,Forereef,Shallow,0,0,2.258064516,0.322580645,0,0.967741935,0,56.12903226,40.32258065,310,310
10105,FFS-00040,2016,9/1/2016,HA1606,OCC-FFS-010,2016,RAMP_BASIC,French Frigate,0,-1,1,CNET,NWHI,French Frigate,0,-1,23.63686,-166.18515,Protected Slope,UNKNOWN,1.360544218,9.863945578,1.700680272,0,0.340136054,0,0,23.46938776,63.26530612,300,294
10106,FFS-01037,2016,9/2/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.688787,-166.214717,Protected Slope,Deep,7.534246575,36.98630137,3.767123288,0,0,0.342465753,0,1.02739726,50.34246575,300,292
10107,FFS-01041,2016,9/2/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.713665,-166.219534,Protected Slope,Deep,4.421768707,35.71428571,5.102040816,0,0,0.340136054,0,6.462585034,47.95918367,300,294
10108,FFS-01126,2016,9/2/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.726281,-166.194359,Protected Slope,Mid,1.127819549,61.65413534,1.879699248,0.37593985,0,0.37593985,0,0,34.58646617,270,266
10109,FFS-01125,2016,9/2/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.696513,-166.192008,Protected Slope,Deep,5.338078292,39.14590747,4.62633452,0,0.355871886,0.355871886,0,5.693950178,44.48398577,300,281
10110,FFS-01357,2016,9/2/2016,HA1606,NA,2016,RAMP_BASIC,French Frigate,0,-1,0,CNET,NWHI,French Frigate,0,0,23.823955,-166.260522,Protected Slope,Mid,1.360544218,16.66666667,2.380952381,0.340136054,0,2.380952381,0,0.340136054,76.53061224,300,294
