SITEVISITID,SITE,OBS_YEAR,DATE_,MISSIONID,OCC_SITEID,ANALYSIS_YEAR,ANALYSIS_SCHEME,SEC_NAME,EXCLUDE_FLAG,TRANSECT_PHOTOS,Oceanography,METHOD,REGION,ISLAND,PERM_SITE,CLIMATE_STATION_YN,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,ACAS,ACBR,ACPH,ACTA,AMSP,ASPP,ASSP,AVSP,CAUL,CHLS,COSP,CYPS,DICO,DICT,ECHL,ECHP,FASP,FAVS,GALI,GALS,GASP,GOAL,GONS,HALI,HYSP,ISSP,LEPT,LESP,LOBO,LOSY,MICR,MOEN,MONE,NEOM,PADI,PAVS,PESP,PLLE,POCS,POMA,PONM,PSSP,STYS,TURS,AMNE,ANTI,ASTS,BGMA,BI,BR,BRMA,BRY,CCAH,CCAR,CMOR,COL,DISP,EMA,ENC,EUSP,FINE,FOL,FREE,FUSP,GC,GRMA,HARD,HCOE,HYCO,LOBS,LPHY,MASS,MESP,MISP,MOBR,MOFO,MONS,OCTO,OUSP,PACS,PAEN,PAFO,PAMA,PHSP,PLER,PLSP,POBR,POEN,POFO,RDMA,RUB,SAND,SG,SP,SYSP,TUN,TURFH,TURFR,UI,UPMA,USC,ZO,HAL,NS,TAB,N,new.N
10010,OAH-02406,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.501435,-158.236933,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0.333333333,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0.666666667,0,0,0,0,91.33333333,0,0,0,0,0,0,0,0,300,300
10011,OAH-02416,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.46914,-158.219437,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.582278481,0,0,0,0,0,0,0,0,0,0,0,0,0.632911392,0,0,0,0,13.60759494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.582278481,0,0,0,16.13924051,0,0,0,0.316455696,65.82278481,0.316455696,0,0,0,0,0,0,0,320,316
10012,OAH-02412,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.451023,-158.202334,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338983051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.728813559,0,0,0,0,94.91525424,0,0,0,0,0,0,0,0,300,295
10014,OAH-00023,2016,8/17/2016,HA1606,OCC-OAH-010,2016,RAMP_BASIC,OAH_SOUTH,0,-1,1,CNET,MHI,Oahu,-1,-1,21.28838,-157.86536,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.880877743,0,0,0,0,0,0,1.567398119,5.956112853,0,0,0,0,0,0,0,1.567398119,0,0,0,0,0.313479624,0,0,0,0,0.626959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940438871,0,0,0,0.940438871,0,0,0,0,85.5799373,0.626959248,0,0,0,0,0,0,0,320,319
10015,OAH-00021,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,1,CNET,MHI,Oahu,0,0,21.30557,-158.12621,Forereef,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632911392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316455696,0.632911392,0,0,0,0,0,0,0,2.215189873,0,0,0,0,0.949367089,0,0,0,0,14.87341772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632911392,0,0,0,0,0,0,0,0,77.21518987,0.632911392,0,1.898734177,0,0,0,0,0,320,316
10017,OAH-00025,2016,8/19/2016,HA1606,OCC-OAH-012,2016,RAMP_BASIC,OAH_SOUTH,0,-1,1,CNET,MHI,Oahu,0,-1,21.53412,-158.23441,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0,0,10.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,16.33333333,0,0,0,0,69,0.666666667,0,0.666666667,0,0,0,0,0,300,300
10019,OAH-02749,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.588871,-158.159412,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,10.66666667,0,0,0,0,48.66666667,39,0,0,0,0,0,0,0,300,300
10020,OAH-02643,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.587846,-158.177175,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338983051,0.677966102,0,0,0,0,0,0,0,0.677966102,0,0,0,0,0.677966102,0,0,0,0,4.06779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338983051,0,0,0,0,7.118644068,0,3.389830508,0,0,0,0,0,0,80.6779661,0,0,2.033898305,0,0,0,0,0,300,295
10021,OAH-02588,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.592206,-158.189174,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38461538,0,0,0,0,0,0,0.307692308,1.230769231,0,0,0,0,0,0,0,1.230769231,0,0,0,0,0.307692308,0,0,0,0,9.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,3.384615385,0,0,0,0,71.38461538,0.615384615,0,0.615384615,0,0,0,0,0,330,325
10022,OAH-02621,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.588474,-158.212036,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,3,0,0,0,0,90.33333333,0,0,2.333333333,0,0,0,0,0,300,300
10023,OAH-02322,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.621528,-158.10004,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,2.1875,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,1.25,0,0,0,0,1.5625,0,0,0,0,7.1875,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,0,0,0,0,78.125,0.3125,0,2.1875,0,0,0,0,0,320,320
10024,OAH-02330,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.680705,-158.056404,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,2,0,0,0,0,84.66666667,0.333333333,0,1,0,0,0,0,0,300,300
10025,OAH-02351,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.669815,-158.060849,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,0,0.3125,0,0,0,0,89.375,0,0,0.625,0,0,0,0,0,320,320
10026,OAH-02337,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.661396,-158.059957,Forereef,Mid,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0.333333333,0.333333333,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,1.333333333,0,0.333333333,0,0,84.33333333,0.333333333,0,6,0,0,0,0,0,300,300
10027,OAH-02365,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.630035,-158.08193,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,2.8125,0,0,0,0,0.9375,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,8.75,0,0,0,0,80.3125,0,0,0.9375,0,0,0,0,0,320,320
10028,OAH-02383,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.628116,-158.07916,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0,0,0,0,0,0,0,3.010033445,0,0,0,0,2.341137124,0,0,0,0,32.44147157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003344482,0,0,0,3.010033445,0,0,0,0,55.85284281,0,0,2.006688963,0,0,0,0,0,300,299
10029,OAH-02347,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.618759,-158.098195,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,1.25,0,0,0.3125,0,0.3125,0,0,0,0,5.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0.3125,2.8125,0,0,0,0,0,0,81.875,0.3125,0,3.4375,0,0,0,0,0,320,320
10030,OAH-02758,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.603616,-158.110791,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338983051,0,0,0,0,0.677966102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050847458,0,0,0,0,87.79661017,0.677966102,0,7.457627119,0,0,0,0,0,300,295
10031,OAH-02781,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.645858,-158.06688,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0.675675676,0,0,0,0,0,0,0,0,0,0,0,0,3.040540541,0,0,0,0,7.432432432,0.337837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.689189189,0,0,0,1.351351351,0,0,0,0,83.10810811,0.337837838,0,0.675675676,0,0,0,0,0,300,296
10032,OAH-02794,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.69301,-158.024844,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336700337,2.356902357,0,0,0,0,0,0,0,0,0,0,0,0,4.713804714,0,0,0,0,9.427609428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.060606061,0,0,0,7.407407407,0,0,0,0,69.36026936,0,0,0.336700337,0,0,0,0,0,300,297
10033,OAH-02766,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.676826,-158.047605,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336700337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.356902357,0,0,0,0,15.82491582,0.336700337,0,0,0,0,0,0,0,0.673400673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.683501684,0,0.336700337,0,1.346801347,0,0,0,0,76.09427609,0,0,1.01010101,0,0,0,0,0,300,297
10034,OAH-02796,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.620516,-158.088704,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672240803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35451505,0,0,0,0,91.97324415,0,0,0,0,0,0,0,0,300,299
10035,OAH-00020,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,1,CNET,MHI,Oahu,0,-1,21.59095,-158.17462,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336700337,0,0,0,0,0,0,0,0,0,0,0,0,1.346801347,0,0,1.346801347,0,0,0,0,0,0,3.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.92255892,0,0,35.01683502,0,0,0,0,0,300,297
10039,KAH-00321,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_NORTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.595952,-156.553572,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88135593,0,0,0,0,0,0,0,0.677966102,0,0,0,0,0,0,0,3.389830508,0,0,0,0,0.677966102,0,0,0,0,8.813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.491525424,0,0,0,0,0.677966102,0,0,0,0,0,9.830508475,0,5.084745763,1.694915254,0,0.677966102,0,0,0,0,25.08474576,0,0,1.016949153,0,0,0,0,0,300,295
10040,KAH-00419,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.512691,-156.543043,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668896321,0,0,0,0,0,0,0.334448161,7.023411371,0,0,0,0,0,0,0,4.682274247,0,0,0,0,2.341137124,0,0,0,0,6.02006689,0.334448161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0.334448161,0,0,5.685618729,0,0,0,0,72.24080268,0,0,0,0,0,0,0,0,300,299
10041,KAH-00362,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.513054,-156.609834,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0.337837838,0,0,0,0,0,0,0,0,0,0,0.675675676,0,0,0,0,0,0,0,1.689189189,0,0,0,0,0,0,0,5.405405405,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0.337837838,0,0,0,0,7.77027027,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675675676,0.337837838,1.013513514,0,0,0,0,0,0,0,77.36486486,0.337837838,0,1.351351351,0,0,0,0,0,300,296
10042,KAH-00334,2016,8/21/2016,HA1606,NA,2016,RAMP_BASIC,KAH_SOUTH,0,-1,0,CNET,MHI,Kahoolawe,0,0,20.50641,-156.682167,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.356902357,0.336700337,0,0,0,0,0,0,0,0.673400673,0,0,0,0,0.673400673,0,0,0,0,3.03030303,0.336700337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101,0,0,0,0,91.24579125,0.336700337,0,0,0,0,0,0,0,300,297
