OBJECTID,ROUNDID,MISSIONID,REGION_NAME,ISLAND,SITE,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,SITEVISITID,DATE_,OBS_YEAR,DIVER,REPLICATEID,REP,METHOD,PHOTOGRAPHER,TRAINING_YN,DEPTH,SURVEY_RADIUS_M,HARD_CORAL,SOFT_CORAL,MA,CCA,TA,SAND,TUNICATE,ZOANTHID,CORALLIMORPH,CLAM,CYANO,SPONGE,OTHER,OTHER_TYPE,HABITAT_CODE,HABITAT_TYPE,CURRENT_STRENGTH,VISIBILITY,MIN_DEPTH,MAX_DEPTH,SUBSTRATE_HEIGHT_0,SUBSTRATE_HEIGHT_20,SUBSTRATE_HEIGHT_50,SUBSTRATE_HEIGHT_100,SUBSTRATE_HEIGHT_150,MAX_HEIGHT,URCHIN_DACOR,BORING_URCHIN_DACOR,SPECIES,TAXONNAME,COMMONNAME,COMMONFAMILYALL,FAMILY,SCIENTIFIC_NAME,RANK,TROPHIC,TROPHIC_MONREP,LW_A,LW_B,LMAX,LENGTH_CONVERSION_FACTOR,COUNT,SIZE_,OBS_TYPE,OBS_DESC
2287087,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,THLU,Thalassoma lutescens,Yellow-brown wrasse,Wrasse,Labridae,Thalassoma lutescens,Species,MI,SECONDARY,0.013,3.04186,25,0.89,1,12,I,Instantaneous
2287088,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,THLU,Thalassoma lutescens,Yellow-brown wrasse,Wrasse,Labridae,Thalassoma lutescens,Species,MI,SECONDARY,0.013,3.04186,25,0.89,1,8,I,Instantaneous
2287089,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CEFL,Centropyge flavissima,Lemonpeel angelfish,Angelfish,Pomacanthidae,Centropyge flavissima,Species,H,PRIMARY,0.0314,2.7995,14,1,3,6,I,Instantaneous
2287090,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CEFL,Centropyge flavissima,Lemonpeel angelfish,Angelfish,Pomacanthidae,Centropyge flavissima,Species,H,PRIMARY,0.0314,2.7995,14,1,1,7,I,Instantaneous
2287091,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CELO,Centropyge loricula,Flame angel,Angelfish,Pomacanthidae,Centropyge loricula,Species,H,PRIMARY,0.0314,2.7995,10,1,4,4,I,Instantaneous
2287092,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CHAG,Chromis agilis,Agile chromis,Damselfish,Pomacentridae,Chromis agilis,Species,Pk,PLANKTIVORE,0.0035,3,11,1,30,5,I,Instantaneous
2287093,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CHAC,Chromis acares,Midget chromis,Damselfish,Pomacentridae,Chromis acares,Species,Pk,PLANKTIVORE,0.0258,3,6,1,110,4,I,Instantaneous
2287094,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PSPA,Pseudanthias pascalus,Amethyst anthias,Anthias,Serranidae,Pseudanthias pascalus,Species,Pk,PLANKTIVORE,0.00959,3,17,1,20,5,I,Instantaneous
2287095,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PLJO,Plectroglyphidodon johnstonianus,Johnston Island damsel,Damselfish,Pomacentridae,Plectroglyphidodon johnstonianus,Species,Cor,SECONDARY,0.0612,2.635,12,1,7,5,I,Instantaneous
2287096,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SATI,Sargocentron tiere,Blue lined squirrelfish,Soldierfish,Holocentridae,Sargocentron tiere,Species,MI,SECONDARY,0.0234,3,33,1,1,15,I,Instantaneous
2287097,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PAFO,Paracirrhites forsteri,Blackside hawkfish,Hawkfish,Cirrhitidae,Paracirrhites forsteri,Species,Pisc,PISCIVORE,0.0165,3.1253,23,1,4,10,I,Instantaneous
2287098,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SASP,Sargocentron spiniferum,Sabre squirrelfish,Soldierfish,Holocentridae,Sargocentron spiniferum,Species,MI,SECONDARY,0.01541,3.11881,52,0.93,1,20,I,Instantaneous
2287099,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PAAR,Paracirrhites arcatus,Arc-eye hawkfish,Hawkfish,Cirrhitidae,Paracirrhites arcatus,Species,MI,SECONDARY,0.0165,3.1253,14,1,2,8,I,Instantaneous
2287100,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SCPS,Scarus psittacus,Common parrotfish,Parrotfish,Scaridae,Scarus psittacus,Species,H,PRIMARY,0.01045,3.31871,33,0.97,1,26,F,After 5 minutes
2287101,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CHSO,Chlorurus sordidus,Daisy parrotfish,Parrotfish,Scaridae,Chlorurus sordidus,Species,H,PRIMARY,0.02431,2.96931,40,1,4,22,F,After 5 minutes
2287102,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,ALSC,Aluterus scriptus,Scrawled filefish,Filefish,Monacanthidae,Aluterus scriptus,Species,Om,SECONDARY,0.0022,3,76,1,1,31,F,After 5 minutes
2287103,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SUBU,Sufflamen bursa,Boomerang triggerfish,Triggerfish,Balistidae,Sufflamen bursa,Species,MI,SECONDARY,0.0216,3,28,1,1,15,F,After 5 minutes
2287104,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,APFU,Aphareus furca,Small toothed jobfish,Snapper,Lutjanidae,Aphareus furca,Species,Pisc,PISCIVORE,0.0105,3,70,1,1,27,F,After 5 minutes
2287105,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PAMU,Parupeneus multifasciatus,Manybar goatfish,Goatfish,Mullidae,Parupeneus multifasciatus,Species,MI,SECONDARY,0.01136,3.21082,38,0.9,2,17,T,After 10 minutes
2287106,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,ZEFL,Zebrasoma flavescens,Yellow tang,Surgeonfish,Acanthuridae,Zebrasoma flavescens,Species,H,PRIMARY,0.0148,3.16,20,1,1,16,T,After 10 minutes
2287107,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,COAY,Coris aygula,Clown coris,Wrasse,Labridae,Coris aygula,Species,MI,SECONDARY,0.00266,3.48857,120,1,1,30,I,Instantaneous
2287108,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,LARU,Labroides rubrolabiatus,Redlip cleaner wrasse,Wrasse,Labridae,Labroides rubrolabiatus,Species,MI,SECONDARY,0.0058,3.171,9,1,2,6,I,Instantaneous
2287109,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PSPA,Pseudanthias pascalus,Amethyst anthias,Anthias,Serranidae,Pseudanthias pascalus,Species,Pk,PLANKTIVORE,0.00959,3,17,1,60,8,I,Instantaneous
2287110,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SPBA,Sphyraena barracuda,Great barracuda,Barracuda,Sphyraenidae,Sphyraena barracuda,Species,Pisc,PISCIVORE,0.00617,3.01095,200,0.89,1,80,P,Presence
2287111,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,LUFU,Lutjanus fulvus,Blacktail snapper,Snapper,Lutjanidae,Lutjanus fulvus,Species,MI,SECONDARY,0.02106,2.97433,43,0.96,1,23,N,Non-Instantaneous
2287112,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CHUB,Kyphosus sp,,Chub,Kyphosidae,,Genus,H,PRIMARY,0.01285,3.15059,75,0.95,2,25,N,Non-Instantaneous
2287113,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SCFO,Scarus forsteni,Forsten's parrotfish,Parrotfish,Scaridae,Scarus forsteni,Species,H,PRIMARY,0.01859,3.0455,55,1,2,26,N,Non-Instantaneous
2287114,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,SCFO,Scarus forsteni,Forsten's parrotfish,Parrotfish,Scaridae,Scarus forsteni,Species,H,PRIMARY,0.01859,3.0455,55,1,1,30,N,Non-Instantaneous
2287115,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,ACNR,Acanthurus nigroris,Bluelined surgeonfish,Surgeonfish,Acanthuridae,Acanthurus nigroris,Species,H,PRIMARY,0.021,2.9435,25,1,1,12,I,Instantaneous
2287116,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CTCY,Ctenochaetus cyanocheilus,Bluelip bristletooth,Surgeonfish,Acanthuridae,Ctenochaetus cyanocheilus,Species,H,PRIMARY,0.0233,3.0559,20,1,4,8,I,Instantaneous
2287117,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CTCY,Ctenochaetus cyanocheilus,Bluelip bristletooth,Surgeonfish,Acanthuridae,Ctenochaetus cyanocheilus,Species,H,PRIMARY,0.0233,3.0559,20,1,6,10,I,Instantaneous
2287118,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CTCY,Ctenochaetus cyanocheilus,Bluelip bristletooth,Surgeonfish,Acanthuridae,Ctenochaetus cyanocheilus,Species,H,PRIMARY,0.0233,3.0559,20,1,3,12,I,Instantaneous
2287333,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,TCW,1845964230,A,nSPC,-1,0,24,7.5,16,,11,1,,1,,,,,,,71,,AGR,Aggregate Reef,None,30,20,28,45,30,20,5,0,1.1,R,R,CEAR,Cephalopholis argus,Peacock hind,Grouper,Serranidae,Cephalopholis argus,Species,Pisc,PISCIVORE,0.00929,3.18074,60,1,1,28,I,Instantaneous
2287334,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,TCW,1845964230,A,nSPC,-1,0,24,7.5,16,,11,1,,1,,,,,,,71,,AGR,Aggregate Reef,None,30,20,28,45,30,20,5,0,1.1,R,R,EPTA,Epinephelus tauvina,Greasy grouper,Grouper,Serranidae,Epinephelus tauvina,Species,Pisc,PISCIVORE,0.0156,2.957,75,1,1,30,I,Instantaneous
2287335,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,TCW,1845964230,A,nSPC,-1,0,24,7.5,16,,11,1,,1,,,,,,,71,,AGR,Aggregate Reef,None,30,20,28,45,30,20,5,0,1.1,R,R,EPTA,Epinephelus tauvina,Greasy grouper,Grouper,Serranidae,Epinephelus tauvina,Species,Pisc,PISCIVORE,0.0156,2.957,75,1,1,20,I,Instantaneous
